state,state_usps_x,EV_Count,station_count,median_income,population_x,EV_per_1000_pop,Stations_per_100k_pop,EV_per_station,Income_Index,population_y,station_count_stations_extra,median_income_income_extra,renewable_energy_btu,total_energy_btu,renewable_share,state_usps_y,num_ev_laws,num_incentives,num_regulations,policy_score,latest_model_year,n_vehicles_latest,avg_range_latest,bev_share_latest,phev_share_latest,renewable_share_pct,ideal_station_count,charger_gap
Nevada,NV,606,52,81134.0,3116967.0,0.1944197676780023,1.6682884355208123,11.653846153846152,0.9824801890996454,3116967.0,,81134.0,0.0,689433.0,0.0,NV,14,3,11,22.5,2021,1,0.0,100.0,0.0,0.0,30.3,-21.7
New York,NY,326,172,85820.0,20105171.0,0.0162147340104692,0.8555013036198498,1.8953488372093024,1.0392246139538488,20105171.0,,85820.0,287690.0,3436991.0,0.0837040306477381,NY,29,9,20,48.0,2021,1,0.0,100.0,0.0,8.370403064773809,16.3,-155.7
Ohio,OH,0,132,72212.0,11798905.0,0.0,1.118747883807862,0.0,0.8744405479239726,11798905.0,,72212.0,169392.0,3381273.0,0.0500971083967488,OH,7,2,5,11.5,2022,1,0.0,100.0,0.0,5.00971083967488,0.0,-132.0
Oklahoma,OK,72,58,66148.0,3965415.0,0.0181569898736954,1.4626464064921323,1.2413793103448276,0.8010094356073082,3965415.0,,66148.0,0.0,1519146.0,0.0,OK,19,6,13,31.5,2016,1,72.0,0.0,100.0,0.0,3.6,-54.4
Oregon,OR,469,115,85220.0,4243779.0,0.1105147087065561,2.7098489341692864,4.078260869565217,1.03195900257687,4243779.0,,85220.0,0.0,875020.0,0.0,OR,30,8,21,48.5,2022,1,42.0,0.0,100.0,0.0,23.45,-91.55
Pennsylvania,PA,351,128,77545.0,12996143.0,0.0270080130697238,0.9849075991238324,2.7421875,0.939019723713018,12996143.0,,77545.0,787083.0,3607506.0,0.2181792629035128,PA,13,7,6,23.0,2022,1,0.0,100.0,0.0,21.817926290351284,17.55,-110.45
Rhode Island,RI,84,35,83504.0,1096530.0,0.0766052912369018,3.191887134870911,2.4,1.011179354038711,1096530.0,,83504.0,0.0,182950.0,0.0,RI,20,4,16,32.0,2014,1,84.0,100.0,0.0,0.0,4.2,-30.8
South Carolina,SC,25,81,72350.0,5132249.0,0.004871158823354,1.5782554587667124,0.3086419753086419,0.8761116385406778,5132249.0,,72350.0,581365.0,1603946.0,0.3624592099734031,SC,16,6,10,27.0,2022,1,0.0,100.0,0.0,36.245920997340306,1.25,-79.75
South Dakota,SD,0,20,76881.0,887948.0,0.0,2.2523841486213154,0.0,0.9309791137891616,887948.0,,76881.0,0.0,347163.0,0.0,SD,5,2,3,8.5,2021,1,0.0,100.0,0.0,0.0,0.0,-20.0
Tennessee,TN,308,87,71997.0,6927904.0,0.044457890871467,1.2557910733174134,3.5402298850574714,0.8718370371805553,6927904.0,,71997.0,396522.0,2058049.0,0.1926688820334209,TN,7,3,4,12.0,2021,1,0.0,100.0,0.0,19.2668882033421,15.4,-71.6
Texas,TX,1057,164,79721.0,29239570.0,0.036149642419502,0.5608837612865032,6.445121951219512,0.9653696743068606,29239570.0,,79721.0,425186.0,14137451.0,0.030075152868788,TX,22,11,9,37.5,2022,1,0.0,100.0,0.0,3.0075152868788013,52.85,-111.15
Utah,UT,247,65,96658.0,3284077.0,0.0752113912067226,1.9792471370190163,3.8,1.1704657741266735,3284077.0,,96658.0,0.0,853951.0,0.0,UT,17,7,10,29.0,2021,1,0.0,100.0,0.0,0.0,12.35,-52.65
Virginia,VA,2191,137,92090.0,8637615.0,0.253657983135391,1.586085973963878,15.992700729927009,1.115150252843276,8637615.0,,92090.0,310037.0,2435265.0,0.1273114014285919,VA,28,8,20,46.0,2023,1,34.0,0.0,100.0,12.731140142859196,109.55,-27.450000000000003
Washington,WA,21616,129,99389.0,7727209.0,2.797387776103895,1.6694255325564509,167.56589147286823,1.2035364152442214,7727209.0,,99389.0,88163.0,1602662.0,0.0550103515276458,WA,42,13,28,69.0,2023,4,18.0,25.0,75.0,5.5010351527645875,1080.8,951.8
Wisconsin,WI,0,67,77488.0,5897375.0,0.0,1.1360986879755823,0.0,0.938329490632205,5897375.0,,77488.0,101204.0,1656177.0,0.0611069952064302,WI,19,7,12,32.0,2021,1,0.0,100.0,0.0,6.110699520643023,0.0,-67.0
Wyoming,WY,322,21,75532.0,577681.0,0.5574010569847373,3.635224284683069,15.333333333333334,0.9146435975432544,577681.0,,75532.0,0.0,499766.0,0.0,WY,5,1,4,8.0,2022,1,0.0,100.0,0.0,0.0,16.1,-4.899999999999999
